NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
115100,Support Activities for Crop Production,15-1141,Database Administrators,70,"74,750","42,070","53,240","70,520","91,250","123,830"
115200,Support Activities for Animal Production,13-1161,Market Research Analysts and Marketing Specialists,50,"54,560","28,640","40,660","45,680","63,220","90,030"
211100,Oil and Gas Extraction,13-1141,"Compensation, Benefits, and Job Analysis Specialists",200,"73,790","41,530","53,090","69,090","86,500","112,970"
211100,Oil and Gas Extraction,13-1161,Market Research Analysts and Marketing Specialists,320,"81,700","41,760","54,570","74,950","99,900","137,680"
211100,Oil and Gas Extraction,13-2031,Budget Analysts,60,"90,300","51,830","64,880","83,730","104,210","132,450"
211100,Oil and Gas Extraction,13-2051,Financial Analysts,"1,820","100,220","54,980","69,310","91,140","124,140","154,560"
211100,Oil and Gas Extraction,15-1121,Computer Systems Analysts,"3,450","105,770","55,800","74,110","95,700","125,580","165,630"
211100,Oil and Gas Extraction,15-1122,Information Security Analysts,210,"88,080","53,380","70,330","86,770","104,770","126,280"
211100,Oil and Gas Extraction,15-1141,Database Administrators,280,"88,520","44,120","62,690","86,870","112,270","132,990"
211100,Oil and Gas Extraction,15-2031,Operations Research Analysts,80,"81,380","45,320","54,400","75,040","99,000","128,640"
213100,Support Activities for Mining,13-1141,"Compensation, Benefits, and Job Analysis Specialists",80,"73,160","41,580","53,860","70,360","87,000","113,020"
213100,Support Activities for Mining,13-1161,Market Research Analysts and Marketing Specialists,310,"100,200","52,350","70,640","89,510","119,840","161,480"
213100,Support Activities for Mining,13-2031,Budget Analysts,150,"82,700","43,460","55,120","74,090","108,470","138,190"
213100,Support Activities for Mining,13-2051,Financial Analysts,260,"95,280","51,060","65,410","86,350","116,970","155,380"
213100,Support Activities for Mining,15-1121,Computer Systems Analysts,790,"118,770","69,820","86,120","110,960","140,290","175,060"
213100,Support Activities for Mining,15-1122,Information Security Analysts,50,"96,670","68,950","80,350","93,300","110,850","130,610"
213100,Support Activities for Mining,15-1141,Database Administrators,60,"94,580","50,360","57,900","75,170","121,360","181,780"
221100,"Electric Power Generation, Transmission and Distribution",13-1141,"Compensation, Benefits, and Job Analysis Specialists",330,"73,680","44,340","54,350","69,440","90,720","114,130"
221100,"Electric Power Generation, Transmission and Distribution",13-1161,Market Research Analysts and Marketing Specialists,"1,580","78,370","45,170","58,000","74,330","95,600","119,840"
221100,"Electric Power Generation, Transmission and Distribution",13-2031,Budget Analysts,430,"71,610","45,190","53,690","67,650","86,530","103,200"
221100,"Electric Power Generation, Transmission and Distribution",13-2041,Credit Analysts,110,"76,150","46,400","58,180","72,470","88,940","107,600"
221100,"Electric Power Generation, Transmission and Distribution",13-2051,Financial Analysts,"1,040","89,980","54,130","68,180","85,660","105,730","130,270"
221100,"Electric Power Generation, Transmission and Distribution",15-1121,Computer Systems Analysts,"2,640","94,810","62,510","77,630","94,300","113,290","129,890"
221100,"Electric Power Generation, Transmission and Distribution",15-1122,Information Security Analysts,720,"83,570","55,160","66,230","80,330","99,440","118,750"
221100,"Electric Power Generation, Transmission and Distribution",15-1141,Database Administrators,350,"90,980","58,040","73,040","90,920","110,540","125,350"
221100,"Electric Power Generation, Transmission and Distribution",15-2031,Operations Research Analysts,590,"85,460","55,460","68,370","83,690","100,870","120,250"
221100,"Electric Power Generation, Transmission and Distribution",15-2041,Statisticians,40,"74,830","38,410","53,690","74,040","93,550","113,530"
221200,Natural Gas Distribution,13-1141,"Compensation, Benefits, and Job Analysis Specialists",190,"89,280","63,080","72,750","87,700","104,420","122,200"
221200,Natural Gas Distribution,13-1161,Market Research Analysts and Marketing Specialists,620,"73,910","39,060","53,620","71,940","92,590","115,010"
221200,Natural Gas Distribution,13-2031,Budget Analysts,160,"86,350","48,630","64,810","83,630","100,800","128,660"
